fiscal_year,income_year,end_income_year,days_in_year,tax_free_threshold,tft_monthly_reduction,first_rate,second_threshold,second_rate,third_threshold,third_rate,fourth_threshold,fourth_rate,fifth_threshold,fifth_rate,first_rate_nr,second_threshold_nr,second_rate_nr,third_threshold_nr,third_rate_nr,fourth_threshold_nr,fourth_rate_nr,fifth_threshold_nr,fifth_rate_nr,dep_rebate_childhousekeep_child,dep_rebate_childhousekeep,dep_rebate_spouse_child,dep_rebate_spouse,dep_rebate_sole_par,dep_rebate_parent,dep_rebate_invalid,dep_rebate_threshold,dep_rebate_phaseout,med_rebate_rate,med_rebate_threshold,nmeto_single_inc_thresh,nmeto_couple_inc_thresh,nmeto_low_rate,nmeto_high_rate,nmeto_low_threshold,nmeto_high_threshold,zone_rebate_special,zone_rebate_special_dep,zone_rebate_a,zone_rebate_a_dep,zone_rebate_b,zone_rebate_b_dep,benef_rebate_single_u18_amt,benef_rebate_single_1820_amt,benef_rebate_single_o21_amt,benef_rebate_single_6064_amt,benef_rebate_marr_u18_amt,benef_rebate_marr_1820_amt,benef_rebate_marr_o21_amt,benef_rebate_marr_child_amt,benef_rebate_marr_other_amt,benef_rebate_single_u18_thresh,benef_rebate_single_1820_thresh,benef_rebate_single_o21_thresh,benef_rebate_single_6064_thresh,benef_rebate_marr_u18_thresh,benef_rebate_marr_1820_thresh,benef_rebate_marr_o21_thresh,benef_rebate_marr_child_thresh,benef_rebate_marr_other_thresh,benef_rebate_phaseout,lito_max,lito_threshold,lito_max_income,lito_rate,sato_max_single,sato_max_seperated,ml_sato_single_phase_limit,sato_max_couple,sato_threshold_single,sato_threshold_seperated,sato_threshold_couple,sato_rate,sato_max_thresh_single,sato_max_thresh_seperated,sato_max_thresh_couple,male_pension_age,female_pension_age,male_vet_pension_age,female_vet_pension_age,pto_max_single,pto_max_seperated,pto_max_couple,pto_threshold_single,pto_threshold_seperated,pto_threshold_couple,pto_rate,vpto_max_single,vpto_max_seperated,vpto_max_couple,vpto_threshold_single,vpto_threshold_seperated,vpto_threshold_couple,fringe_benefit_threshold,fringe_benefit_threshold_grossup,ml_rate,ml_shadein,ml_thresh_min_single,ml_thresh_max_single,ml_thresh_min_couple,ml_thresh_max_couple,ml_child_min,ml_child_max,ml_thresh_min_sa_single,ml_thresh_max_sa_single,ml_thresh_min_sa_couple,ml_thresh_max_sa_couple,ml_thresh_min_pension,ml_thresh_max_pension,mls_tier_1_single,mls_tier_2_single,mls_tier_3_single,mls_tier_1_family,mls_tier_2_family,mls_tier_3_family,mls_child,mls_rate_1,mls_rate_2,mls_rate_3,super_lsum_tax_free_cap,preservation_age_start,preservation_age_end,mawto_amount,mawto_phasein,mawto_phaseout,mawto_in_threshold,mawto_out_threshold,mawto_age_test,hecs_t1,hecs_r1,hecs_t2,hecs_r2,hecs_t3,hecs_r3,hecs_t4,hecs_r4,hecs_t5,hecs_r5,hecs_t6,hecs_r6,hecs_t7,hecs_r7,hecs_t8,hecs_r8,hecs_t9,hecs_r9,hecs_r10,eto_rebate_rate,eto_thresh_max,eto_agg_to_threshold,eto_non_eto_sing_threshold,eto_non_eto_marr_threshold,eto_rate,eto_base,sg_threshold,sg_max_cont,sg_phase_out,sg_rate,sg_income_threshold,sg_age_test,super_tax_offset_max_amt,super_tax_offset_rate,super_tax_offset_phaseout,super_tax_offset_threshold,lisc_threshold,lisc_rate,lisc_max,rbl_lump_sum,rbl_pension,div_293_threshold,flood_levy_rate_1,flood_levy_threshold_1,flood_levy_rate_2,flood_levy_threshold_2,fmd_income_threshold
1991-92,1992,6/30/1992,365,5400,,20,20700,38,36000,46,50000,47,,,29,20700,38,36000,46,50000,47,,,,,1379,1149,1080,1034,517,282,25,20,1000,,,,,,,938,50,270,50,45,20,44,163,428,558,44,163,286,503,503,5620,6215,7540,8190,5620,6215,6830,13660,13660,12.5,,,,,,,,,,,,,,,,65,60,60,55,932,880,618,10060,9800,8490,12.5,932,880,618,10060,9800,8490,1000,1932,1.25,20,11745,,19674,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,27098,0,30793,3,43112,4,43112,5,43112,5,43112,5,43112,5,43112,5,43112,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-93,1993,6/30/1993,365,5400,,20,20700,38,36000,46,50000,47,,,29,20700,38,36000,46,50000,44.125,50000,47,,,1412,1177,1106,1059,529,282,25,20,1000,,,,,,,1056,50,304,50,51,20,71,193,448,588,71,193,311,1078,525,5755,6365,7640,8340,5755,6365,6955,16675,13910,12.5,,,,,,,,,,,,,,,,65,60,60,55,972,920,654,10260,10000,8670,12.5,972,920,654,10260,10000,8670,1000,1932,1.25,20,11887,12680,20070,21408,2100,2240,,,,,,,,,,,,,,,,,,,,,,,,,,27748,0,31532,3,44146,4,44146,5,44146,5,44146,5,44146,5,44146,5,44146,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-94,1994,6/30/1994,365,5400,,20,20700,35.5,36000,38.5,38000,44.125,50000,47,29,20700,35.5,36000,38.5,38000,47,,,,,1425,1188,1116,1069,534,282,25,20,1000,,,,,,,1173,50,338,50,57,20,88,212,475,626,88,212,343,1144,577,5840,6460,7775,8530,5840,6460,7115,17060,14225,12.5,150,20700,24450,4,,,,,,,,,,,,65,60,60,55,1084,1021,738,10820,10505,9090,12.5,1020,957,685,10500,10185,8825,1000,1835,1.4,20,12688,13644,21366,22975,2100,2258,,,,,,,,,,,,,,,,,,,,,,,,,,26403,0,30004,3,42005,4,42005,5,42005,5,42005,5,42005,5,42005,5,42005,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-95,1995,6/30/1995,365,5400,,20,20700,34,38000,43,50000,47,,,29,20700,34,38000,43,50000,47,,,,,1452,1211,1137,1089,544,282,25,20,1000,,,,,,,1173,50,338,20,57,20,,,,,,,,,,,,,,,,,,,,150,20700,24450,4,,,,,,,,,,,,65,60,60,55,1064,1002,724,10720,10410,9020,12.5,1064,1002,724,10720,10410,9020,1000,1937,1.4,20,12688,13644,21366,23975,2100,2258,,,,,,,,,,,,,,,,,,,,,,,,,,26853,0,3051,3,42722,4,42722,5,42722,5,42722,5,42722,5,42722,5,42722,5,5,,,,,,,,,,,,,,,,,,,,,400000,800000,,,,,,
1995-96,1996,6/30/1996,366,5400,,20,20700,34,38000,43,50000,47,,,29,20700,34,38000,43,50000,47,,,1488,,1452,1241,1165,1116,558,282,25,20,1000,,,,,,,1173,50,338,50,57,20,,,,,,,,,,,,,,,,,,,,150,20700,24450,4,,,,,,,,,,,,65,60.5,60.5,55.5,1157,1094,805,11185,10870,9425,12.5,1157,1094,805,11185,10870,9425,1000,1941,1.5,20,12870,13914,21718,23480,2100,2270,,,,,,,,,,,,,,,,,,,,,,,,,,27674,0,31449,3,44029,4,44029,5,44029,5,44029,5,44029,5,44029,5,44029,5,5,,,,,,,,,,,,,,,,,,,,,418000,836000,,,,,,
1996-97,1997,6/30/1997,365,5400,,20,20700,34,38000,43,50000,47,,,29,20700,34,38000,43,50000,47,,,1556,,1452,1298,1219,1167,584,282,25,20,1250,,,,,,,1173,50,338,50,57,20,,,,,,,,,,,,,,,,,,,,150,20700,24450,4,614.5,593,,434,11545,11230,9740,12.5,16461,31948,26424,65,60.5,60.5,55.5,1229,1166,868,11545,11230,9740,12.5,1229,1166,868,11545,11230,9740,1000,1941,1.5,20,13127,14346,22152,24209,2100,2295,,,,,,,,,,,,,,,,,,,,,,,,,,28495,0,30049,3,32381,3.5,37563,4,45335,4.5,47718,5,51292,5.5,51292,6,51292,6,6,,,,,,,,,,,,,,,,,,,,,434720,869440,,,,,,
1997-98,1998,6/30/1998,365,5400,,20,20700,34,38000,43,50000,47,,,29,20700,34,38000,43,50000,47,,,1587,,1452,1324,1243,1190,596,282,25,20,1250,,,,,,,1173,50,338,50,57,20,,,,,,,,,,,,,,,,,,,,150,20700,24450,4,1260,1197,,897,11700,11385,9880,12.5,21780,41922,34112,65,61,61,56,1260,1197,897,11700,11385,9880,12.5,1260,1197,897,11700,11385,9880,1000,1949,1.7,20,13389,14475,22594,24426,2100,2270,,,,,,,50000,50000,50000,100000,100000,100000,1500,1,1,1,,,,,,,,,,20701,0,21830,3,23524,3.5,27288,4,32934,4.5,34665,5,37262,5.5,37262,6,37262,6,6,,,,,,,,,,,,,,,,,,,,,454718,909435,,,,,,
1998-99,1999,6/30/1999,365,5400,,20,20700,34,38000,43,50000,47,,,29,20700,34,38000,43,50000,47,,,1587,,1452,1324,1243,1190,596,282,25,20,1250,,,,,,,1173,50,338,50,57,20,,,,,,,,,,,,,,,,,,,,150,20700,24450,4,1301,1238,,930,11905,11590,10050,12.5,22313,42988,34980,65,61,61,56,1301,1238,930,11905,11590,10050,12.5,1301,1238,930,11905,11590,10050,1000,1941,1.5,20,13389,14475,22594,24426,2100,2270,,,,,,,50000,50000,50000,100000,100000,100000,1500,1,1,1,,,,,,,,,,21334,0,22498,3,24244,3.5,28123,4,33942,4.5,35726,5,38402,5.5,38402,6,38402,6,6,,,,,,,,,,,,,,,,,,,,,471088,942175,,,,,,
1999-00,2000,6/30/2000,366,5400,450,20,20700,34,38000,43,50000,47,,,29,20700,34,38000,43,50000,47,,,1606,1340,1452,1340,1258,1204,603,282,25,20,1250,,,,,,,1173,50,338,50,57,20,,,,,,,,,,,,,,,,,,,,150,20700,24450,4,1358,1296,,980,12190,11880,10300,12.5,23054,44496,36280,65,61.5,61.5,56.5,1358,1296,980,12190,11880,10300,12.5,1451,1386,1059,12655,12330,10695,1000,1941,1.5,20,13550,14648,22865,24718,2100,2270,,,,,,,50000,50000,50000,100000,100000,100000,1500,1,1,1,,,,,,,,,,21984,0,23183,3,24982,3.5,2980,4,34976,4.5,36814,5,39572,5.5,39572,6,39572,6,6,,,,,,,,,,,,,,,,,,,,,485692,971382,,,,,,65000
Jan-00,2001,6/30/2001,365,6000,500,17,20000,30,50000,42,60000,47,,,29,20000,30,50000,42,60000,47,,,1637,1365,,1365,,1227,614,282,25,20,1250,,,,,,,1173,50,338,50,57,20,,,,,,,,,,,,,,,,,,,,150,20700,24450,4,2230,2040,,1602,20000,18883,16306,12.5,37840,70406,58244,65,61.5,61.5,56.5,1608,1471,1155,15970,26421,12795,12.5,1608,1471,1155,15970,26421,12795,1000,1941,1.5,20,13807,14926,23299,25188,2140,2313,20000,21621,31729,34302,15970,17264,50000,50000,50000,100000,100000,100000,1500,1,1,1,,,,,,,,,,22346,0,23565,3,25393,3.5,29456,4,35551,4.5,37420,5,40223,5.5,40223,6,40223,6,6,,,,,,,,,,,,,,,,,,,,,506092,1012181,,,,,,65000
